query,truth
Is Zipcode 23669 adjacent to and south of Zipcode 23665?,no
Is Zipcode 24315 adjacent to and west of Zipcode 24134?,yes
Is Miller County Arkansas west of Zipcode 71860?,yes
Is Burnett County Wisconsin adjacent to and southeast of Zipcode 55069?,no
Is Bertie County North Carolina northeast of Zipcode 27834?,yes
Is Zipcode 51061 adjacent to and southeast of Zipcode 51048?,no
Is Schoolcraft County Michigan adjacent to and west of Zipcode 49853?,no
Is Saint Francois County Missouri southeast of Zipcode 63080?,yes
Is Zipcode 51557 east of Zipcode 68008?,no
Is Zipcode 81144 adjacent to and west of Zipcode 81146?,yes
Is Zipcode 95374 southeast of Zipcode 95313?,yes
Is Zipcode 74558 northwest of Zipcode 74722?,yes
Is The State of Indiana adjacent to and northwest of Zipcode 41095?,yes
Is Zipcode 13684 southeast of Zipcode 13630?,yes
Is Zipcode 37127 adjacent to and east of Zipcode 37128?,yes
Is Zipcode 93222 adjacent to and north of Zipcode 93252?,yes
Is De Soto Parish Louisiana west of Zipcode 71008?,yes
Is Jefferson County Washington west of Zipcode 98249?,yes
Is Zipcode 01129 east of Zipcode 01108?,no
Is Zipcode 34481 adjacent to and northwest of Zipcode 34473?,yes
Is Wilson County Texas east of Zipcode 78221?,yes
Is Zipcode 07081 adjacent to and east of Zipcode 07092?,no
Is Zipcode 44825 adjacent to and south of Zipcode 44818?,no
Is Zipcode 16148 adjacent to and southwest of Zipcode 16150?,no
Is Zipcode 20794 adjacent to and southeast of Zipcode 21046?,yes
Is McCormick County South Carolina north of Warren County Georgia?,no
Is Zipcode 11238 adjacent to and southeast of Zipcode 11217?,no
Is Guthrie County Iowa adjacent to and east of Zipcode 50025?,yes
Is Zipcode 93117 adjacent to and southeast of Zipcode 93427?,yes
Is Zipcode 52739 adjacent to and southeast of Zipcode 52755?,yes
Is Ray County Missouri southeast of Zipcode 64493?,yes
Is Zipcode 49618 adjacent to and northwest of Zipcode 49601?,yes
Is Zipcode 48416 adjacent to and southwest of Zipcode 48466?,no
Is Zipcode 49097 adjacent to and south of Zipcode 49002?,no
Is Mason County Washington adjacent to and west of Zipcode 98506?,no
Is Zipcode 08520 adjacent to and southeast of Zipcode 08561?,no
Is Essex County Massachusetts southeast of Zipcode 01879?,no
Is Zipcode 05441 adjacent to and north of Zipcode 05492?,yes
Is Zipcode 56554 adjacent to and southeast of Zipcode 56585?,yes
Is Zipcode 06777 west of Zipcode 06793?,no
Is Zipcode 15019 adjacent to and north of Zipcode 15060?,no
Is Zipcode 63953 adjacent to and southwest of Zipcode 63954?,no
Is Zipcode 56114 adjacent to and north of Zipcode 56131?,yes
Is Aiken County South Carolina west of Zipcode 29135?,yes
Is Leavenworth County Kansas adjacent to and south of Zipcode 64098?,no
Is Zipcode 45850 southeast of Zipcode 45808?,yes
Is Comerío Municipio Puerto Rico adjacent to and east of Barranquitas Municipio Puerto Rico?,yes
Is Mitchell County Georgia east of Miller County Georgia?,yes
Is Zipcode 87056 adjacent to and southwest of Zipcode 87535?,no
Is Teton County Montana east of Zipcode 59639?,no
Is Zipcode 73838 adjacent to and north of Zipcode 73663?,yes
Is Zipcode 47551 west of Zipcode 40157?,no
Is Zipcode 93619 adjacent to and northeast of Zipcode 93730?,no
Is Zipcode 50003 southeast of Zipcode 50146?,no
Is Sedgwick County Colorado west of Keith County Nebraska?,no
Is Zipcode 53189 adjacent to and east of Zipcode 53183?,no
Is Zipcode 87830 southeast of Zipcode 85920?,no
Is Hampshire County Massachusetts adjacent to and north of Zipcode 01008?,no
Is Zipcode 19137 southeast of Zipcode 19120?,yes
Is Zipcode 78947 north of Zipcode 78602?,no
Is Powhatan County Virginia southwest of Zipcode 23059?,yes
Is Zipcode 40447 adjacent to and southeast of Zipcode 40456?,no
Is Monroe County Michigan east of Zipcode 49268?,yes
Is Zipcode 38554 southwest of Zipcode 38556?,yes
Is Zipcode 21075 adjacent to and southeast of Zipcode 21045?,no
Is Zipcode 51531 adjacent to and north of Zipcode 51577?,no
Is Zipcode 28604 northwest of Zipcode 28611?,yes
Is Zipcode 04625 adjacent to and south of Zipcode 04662?,no
Is Zipcode 10174 south of Zipcode 10169?,yes
Is The State of Texas adjacent to and west of Zipcode 71834?,yes
Is Zipcode 54956 adjacent to and west of Zipcode 54952?,yes
Is Zipcode 18428 adjacent to and west of Zipcode 18458?,yes
Is Grant County Minnesota adjacent to and northeast of Zipcode 56583?,no
Is The State of Louisiana southwest of Zipcode 39341?,yes
Is Cooke County Texas northeast of Zipcode 76230?,no
Is Cortland County New York southeast of Zipcode 13147?,no
Is Zipcode 16882 southwest of Zipcode 17747?,no
Is The State of Texas southwest of Zipcode 74340?,yes
Is Zipcode 41005 adjacent to and north of Zipcode 47038?,no
Is Zipcode 38471 adjacent to and west of Zipcode 38452?,yes
Is Zipcode 58031 adjacent to and southwest of Zipcode 58052?,no
Is Zipcode 50680 adjacent to and southwest of Zipcode 50665?,yes
Is Zipcode 65632 adjacent to and northeast of Zipcode 65644?,no
Is Zipcode 73501 southeast of Zipcode 73538?,no
Is Schuylkill County Pennsylvania adjacent to and southwest of Zipcode 18250?,no
Is Zipcode 07863 adjacent to and east of Zipcode 07882?,no
Is Zipcode 54646 southeast of Zipcode 54666?,no
Is Union County Arkansas adjacent to and northeast of Zipcode 71740?,no
Is Zipcode 90404 adjacent to and northeast of Zipcode 90401?,yes
Is Corozal Municipio Puerto Rico adjacent to and north of Orocovis Municipio Puerto Rico?,no
Is Zipcode 72021 north of Zipcode 72041?,no
Is Zipcode 75009 adjacent to and southeast of Zipcode 76227?,no
Is Zipcode 74873 adjacent to and north of Zipcode 74852?,yes
Is Turner County South Dakota west of Zipcode 57105?,no
Is Zipcode 36509 adjacent to and west of Zipcode 36582?,no
Is Zipcode 58421 adjacent to and northwest of Zipcode 58443?,no
Is Zipcode 55407 adjacent to and southeast of Zipcode 55404?,no
Is Sevier County Arkansas north of Zipcode 71865?,yes
Is Zipcode 76501 adjacent to and north of Zipcode 76554?,no
Is Zipcode 59057 adjacent to and west of Zipcode 59106?,yes
Is Hudson County New Jersey west of Zipcode 11365?,yes
Is Twin Falls County Idaho southwest of Zipcode 83347?,yes
Is Zipcode 06120 north of Zipcode 06106?,no
Is Zipcode 19133 adjacent to and west of Zipcode 19125?,no
Is Zipcode 37880 adjacent to and south of Zipcode 37763?,no
Is Zipcode 45732 adjacent to and northwest of Zipcode 43787?,no
Is Liberty County Georgia north of Zipcode 31304?,yes
Is Zipcode 33131 southeast of Zipcode 33135?,no
Is Zipcode 54162 southeast of Zipcode 54166?,no
Is Kaufman County Texas west of Zipcode 75752?,no
Is Zipcode 08844 adjacent to and north of Zipcode 08540?,yes
Is Zipcode 24558 adjacent to and north of Zipcode 24598?,no
Is Zipcode 40052 adjacent to and northwest of Zipcode 40060?,yes
Is Zipcode 74056 west of Zipcode 74029?,yes
Is Zipcode 10170 northeast of Zipcode 10199?,no
Is Zipcode 82939 adjacent to and southeast of Zipcode 82933?,yes
Is Saint Louis County Missouri southeast of Zipcode 63369?,yes
Is Zipcode 50541 adjacent to and southwest of Zipcode 50548?,no
Is Zipcode 14445 adjacent to and southwest of Zipcode 14526?,yes
Is Zipcode 15856 adjacent to and west of Zipcode 15849?,no
Is Zipcode 60647 adjacent to and southeast of Zipcode 60641?,yes
Is Zipcode 96094 adjacent to and southeast of Zipcode 96034?,no
Is Zipcode 54767 adjacent to and northwest of Zipcode 54740?,yes
Is Zipcode 60550 east of Zipcode 60553?,yes
Is Zipcode 45121 southeast of Zipcode 45176?,yes
Is Zipcode 99743 adjacent to and west of Zipcode 99760?,yes
Is Zipcode 40823 west of Zipcode 24265?,no
Is Newport County Rhode Island west of Dukes County Massachusetts?,yes
Is Zipcode 98387 southwest of Zipcode 98373?,yes
Is Zipcode 05362 adjacent to and north of Zipcode 05301?,yes
Is Zipcode 43968 northwest of Zipcode 26047?,yes
Is Zipcode 17322 adjacent to and northwest of Zipcode 17352?,no
Is Gwinnett County Georgia southeast of Zipcode 30040?,yes
Is Zipcode 66409 southwest of Zipcode 66049?,no
Is Zipcode 68743 adjacent to and north of Zipcode 68741?,yes
Is Zipcode 12009 south of Zipcode 12304?,no
Is Warren County Pennsylvania adjacent to and west of The State of New York?,yes
Is Zipcode 95470 adjacent to and east of Zipcode 95490?,no
Is Zipcode 07661 adjacent to and southeast of Zipcode 07652?,yes
Is Jefferson Davis Parish Louisiana adjacent to and northwest of Zipcode 70542?,yes
Is Knox County Kentucky northeast of McCreary County Kentucky?,no
Is Zipcode 59078 adjacent to and east of Zipcode 59055?,no
Is Zipcode 41619 northeast of Zipcode 41630?,no
Is Zipcode 59230 adjacent to and west of Zipcode 59248?,yes
Is Virginia Beach city Virginia east of Zipcode 23433?,yes
Is Zipcode 00820 adjacent to and east of Zipcode 00850?,yes
Is Zipcode 12589 adjacent to and west of Zipcode 12550?,no
Is Zipcode 16914 northwest of Zipcode 18848?,no
Is Lake County Oregon southeast of Zipcode 97624?,no
Is Shackelford County Texas east of Zipcode 79525?,yes
Is Zipcode 56248 adjacent to and southeast of Zipcode 56274?,yes
Is Zipcode 36750 southeast of Zipcode 35042?,yes
Is Zipcode 63052 north of Zipcode 63050?,no
Is The State of Delaware south of Zipcode 08026?,no
Is Zipcode 75143 northeast of Zipcode 75155?,yes
Is The State of Utah adjacent to and north of Zipcode 86054?,yes
Is Zipcode 92311 adjacent to and northwest of Zipcode 92327?,yes
Is Fentress County Tennessee adjacent to and north of Cumberland County Tennessee?,yes
Is Zipcode 62218 adjacent to and east of Zipcode 62230?,no
Is Randolph County Georgia adjacent to and north of Zipcode 39846?,yes
Is Zipcode 66943 adjacent to and south of Zipcode 66968?,no
Is Putnam County New York northwest of Zipcode 06883?,yes
Is Horry County South Carolina adjacent to and south of Marion County South Carolina?,no
Is Cumberland County Virginia adjacent to and southwest of Zipcode 23063?,yes
Is Bergen County New Jersey adjacent to and east of Zipcode 07014?,no
Is Zipcode 65730 adjacent to and east of Zipcode 64831?,yes
Is Zipcode 73068 adjacent to and northeast of Zipcode 73072?,no
Is Zipcode 25446 east of Zipcode 22624?,yes
Is Zipcode 93201 adjacent to and northwest of Zipcode 93219?,no
Is Zipcode 39401 south of Zipcode 39437?,yes
Is Zipcode 13795 south of Zipcode 13901?,no
Is Zipcode 24250 adjacent to and southwest of Zipcode 24245?,yes
Is Zipcode 74135 adjacent to and southwest of Zipcode 74129?,yes
Is Zipcode 33872 adjacent to and northwest of Zipcode 33875?,no
Is Zipcode 11530 adjacent to and northwest of Zipcode 11553?,yes
Is Zipcode 65589 adjacent to and east of Zipcode 65483?,no
Is The State of South Carolina southwest of Zipcode 28356?,yes
Is Clark County Illinois adjacent to and northwest of Zipcode 47861?,yes
Is Louisa County Virginia northwest of Zipcode 23103?,yes
Is Zipcode 30046 west of Zipcode 30017?,no
Is Zipcode 61088 adjacent to and south of Zipcode 61101?,no
Is Zipcode 68947 northwest of Zipcode 68972?,yes
Is Zipcode 92201 east of Zipcode 92241?,no
Is Zipcode 95223 east of Zipcode 95255?,yes
Is Geary County Kansas southeast of Zipcode 66531?,no
Is Richland County South Carolina east of Zipcode 29126?,no
Is Calhoun County West Virginia adjacent to and northwest of Zipcode 26351?,no
Is Zipcode 97015 adjacent to and southeast of Zipcode 97267?,no
Is Adams County Colorado east of Zipcode 80621?,no
Is The State of Virginia east of Zipcode 25021?,yes
Is Zipcode 63436 adjacent to and southwest of Zipcode 63441?,no
Is Zipcode 36330 adjacent to and southwest of Zipcode 36362?,no
Is Zipcode 92243 adjacent to and southeast of Zipcode 92251?,yes
Is Zipcode 83812 southeast of Zipcode 83861?,yes
Is Zipcode 84758 east of Zipcode 84779?,yes
Is Broward County Florida south of Zipcode 33431?,no
Is The State of Tennessee adjacent to and southwest of Zipcode 42717?,yes
Is Zipcode 75007 west of Zipcode 75001?,no
Is Zipcode 06415 adjacent to and southeast of Zipcode 06424?,no
Is Ada County Idaho east of Zipcode 83651?,yes
Is Zipcode 19064 southwest of Zipcode 19050?,no
Is Spencer County Kentucky south of Zipcode 40205?,no
Is Zipcode 50102 adjacent to and southeast of Zipcode 50230?,yes
Is Dorchester County Maryland south of Zipcode 21654?,yes
Is Zipcode 12972 southeast of Zipcode 12981?,no
Is Alleghany County Virginia west of Zipcode 24574?,yes
Is Zipcode 06850 adjacent to and east of Zipcode 06820?,no
Is Covington County Alabama adjacent to and south of Zipcode 36009?,no
Is Zipcode 74561 adjacent to and east of Zipcode 74432?,no
Is Zipcode 38944 adjacent to and west of Zipcode 38928?,no
Is Benton County Arkansas adjacent to and northeast of Zipcode 72704?,no
Is Zipcode 54950 adjacent to and north of Zipcode 54962?,no
Is Ashland County Ohio adjacent to and southeast of Lorain County Ohio?,no
Is Zipcode 28615 adjacent to and southwest of Zipcode 24292?,yes
Is Wayne County West Virginia south of Greenup County Kentucky?,no
Is Zipcode 01029 adjacent to and southeast of Zipcode 01253?,no
Is Zipcode 85328 adjacent to and west of Zipcode 85365?,yes
Is The State of Minnesota northeast of Zipcode 57018?,yes
Is Zipcode 35460 adjacent to and west of Zipcode 35443?,yes
Is Shelby County Indiana west of Zipcode 46146?,yes
Is Zipcode 34669 adjacent to and northeast of Zipcode 34654?,no
Is Zipcode 91405 adjacent to and northwest of Zipcode 91605?,no
Is Zipcode 36312 adjacent to and south of Zipcode 36376?,yes
Is Zipcode 04285 south of Zipcode 04983?,no
Is Zipcode 59028 adjacent to and east of Zipcode 59020?,no
Is Zipcode 37914 adjacent to and west of Zipcode 37865?,no
Is Rabun County Georgia adjacent to and east of Clay County North Carolina?,no
Is Kandiyohi County Minnesota east of Zipcode 56334?,no
Is Zipcode 73933 adjacent to and northwest of Zipcode 79084?,yes
Is Zipcode 46985 adjacent to and northeast of Zipcode 47926?,no
Is Zipcode 31833 adjacent to and northeast of Zipcode 36863?,no
Is Zipcode 84312 adjacent to and southwest of Zipcode 84334?,yes
Is Zipcode 78215 adjacent to and south of Zipcode 78209?,no
Is The State of Virginia southwest of Zipcode 21915?,yes
Is Zipcode 33326 adjacent to and east of Zipcode 33327?,yes
Is Zipcode 57266 west of Zipcode 57269?,yes
Is Pecos County Texas adjacent to and southeast of Ward County Texas?,yes
Is Zipcode 95567 southwest of Zipcode 95543?,no
Is Zipcode 58731 adjacent to and northwest of Zipcode 58768?,no
Is Zipcode 66554 adjacent to and southwest of Zipcode 66411?,yes
Is Zipcode 16506 adjacent to and south of Zipcode 16505?,yes
Is Zipcode 40071 northwest of Zipcode 40012?,yes
Is Westchester County New York east of Zipcode 10993?,yes
Is Zipcode 27891 adjacent to and east of Zipcode 27856?,yes
Is Zipcode 15729 adjacent to and northeast of Zipcode 15728?,yes
Is Jackson County Illinois adjacent to and north of Union County Illinois?,yes
Is Zipcode 15864 adjacent to and south of Zipcode 15825?,no
Is Zipcode 07078 adjacent to and northeast of Zipcode 07081?,no
Is Zipcode 21078 northeast of Zipcode 21130?,yes
Is Latimer County Oklahoma northwest of Zipcode 74957?,yes
Is Rappahannock County Virginia west of Zipcode 20169?,yes
Is Zipcode 11553 adjacent to and north of Zipcode 11575?,yes
Is Zipcode 38450 adjacent to and north of Zipcode 38471?,no
Is Zipcode 38804 south of Zipcode 38849?,yes
Is Zipcode 60538 adjacent to and west of Zipcode 60504?,yes
Is Meigs County Ohio adjacent to and northwest of Zipcode 25265?,yes
Is Zipcode 97358 west of Zipcode 97342?,yes
Is Zipcode 25059 adjacent to and north of Zipcode 25085?,yes
Is Zipcode 33166 adjacent to and southwest of Zipcode 33142?,no
Is Zipcode 77459 adjacent to and east of Zipcode 77478?,no
Is Zipcode 47240 adjacent to and southeast of Zipcode 46173?,no
Is Zipcode 57224 adjacent to and southwest of Zipcode 57255?,no
Is Waldo County Maine west of Zipcode 04676?,yes
Is Zipcode 10026 adjacent to and east of Zipcode 10025?,yes
Is Zipcode 19506 west of Zipcode 19605?,yes
Is Zipcode 49240 adjacent to and southeast of Zipcode 49259?,yes
Is Zipcode 29437 south of Zipcode 29059?,yes
Is Zipcode 04989 adjacent to and southwest of Zipcode 04901?,yes
Is Zipcode 37172 adjacent to and west of Zipcode 37049?,yes
Is Zipcode 62411 adjacent to and west of Zipcode 62461?,no
Is Hood County Texas adjacent to and west of Zipcode 76077?,no
Is Zipcode 29129 adjacent to and northeast of Zipcode 29801?,no
Is The State of Wisconsin adjacent to and southwest of Zipcode 49935?,yes
Is Zipcode 54174 adjacent to and south of Zipcode 54491?,no
Is Zipcode 78725 adjacent to and northeast of Zipcode 78742?,no
Is Zipcode 03601 adjacent to and west of Zipcode 03605?,yes
Is Zipcode 08110 northwest of Zipcode 08002?,yes
Is Zipcode 79363 adjacent to and north of Zipcode 79407?,yes
Is Guaynabo Municipio Puerto Rico adjacent to and southwest of Zipcode 00920?,no
Is Middlesex County New Jersey southeast of Zipcode 08876?,yes
Is Zipcode 45889 adjacent to and southeast of Zipcode 45858?,no
Is Zipcode 35049 adjacent to and west of Zipcode 35121?,yes
Is Zipcode 56296 adjacent to and east of Zipcode 57260?,yes
Is Zipcode 15658 northwest of Zipcode 15547?,yes
Is Zipcode 34234 adjacent to and north of Zipcode 34236?,yes
Is Las Piedras Municipio Puerto Rico adjacent to and northwest of Zipcode 00718?,no
Is Union County New Jersey adjacent to and north of Zipcode 08854?,no
Is Zipcode 37419 northwest of Zipcode 30750?,no
Is Richland County Ohio northeast of Zipcode 43321?,yes
Is Zipcode 65020 southeast of Zipcode 65324?,yes
Is Zipcode 93726 adjacent to and west of Zipcode 93612?,no
Is Montgomery County Ohio south of Zipcode 45346?,no
Is Calhoun County Florida adjacent to and north of Zipcode 32465?,yes
Is The State of North Carolina northeast of Zipcode 29212?,yes
Is Zipcode 48002 adjacent to and southeast of Zipcode 48003?,no
Is Zipcode 63115 adjacent to and northwest of Zipcode 63107?,yes
Is Zipcode 39213 north of Zipcode 39208?,no
Is Zipcode 73047 adjacent to and southwest of Zipcode 73040?,no
Is New York County New York east of Zipcode 07009?,yes
Is Graham County Arizona adjacent to and southeast of Zipcode 85941?,no
Is George County Mississippi adjacent to and south of The State of Alabama?,no
Is Zipcode 27013 adjacent to and east of Zipcode 28677?,yes
Is Zipcode 35035 west of Zipcode 35187?,no
Is Perry County Kentucky northeast of Zipcode 40828?,no
Is Zipcode 98321 adjacent to and northwest of Zipcode 98396?,yes
Is Zipcode 48841 adjacent to and southeast of Zipcode 48831?,no
Is Mitchell County North Carolina southwest of Zipcode 28622?,yes
Is Saint Louis County Minnesota southeast of Zipcode 55716?,no
Is Johnson County Kentucky southeast of Rowan County Kentucky?,yes
Is Zipcode 66775 adjacent to and northeast of Zipcode 66733?,yes
Is Zipcode 63120 northwest of Zipcode 63113?,yes
Is Zipcode 11530 adjacent to and northeast of Zipcode 11010?,yes
Is Zipcode 47909 southeast of Zipcode 47904?,no
Is Newport News city Virginia north of Zipcode 23518?,no
Is Zipcode 55071 adjacent to and southeast of Zipcode 55076?,no
Is Zipcode 38644 adjacent to and north of Zipcode 38617?,yes
Is Zipcode 51033 adjacent to and northeast of Zipcode 51002?,no
Is Zipcode 71655 south of Zipcode 71639?,no
Is Zipcode 33125 adjacent to and east of Zipcode 33122?,yes
Is Washington County Florida adjacent to and southeast of Zipcode 32464?,yes
Is Zipcode 79908 adjacent to and east of Zipcode 79904?,yes
Is Perry County Tennessee adjacent to and southwest of Zipcode 37140?,yes
Is Gray County Kansas northeast of Zipcode 67877?,yes
Is Zipcode 68070 adjacent to and southeast of Zipcode 68014?,yes
Is Lucas County Ohio adjacent to and southeast of Monroe County Michigan?,no
Is Zipcode 83549 west of Zipcode 83525?,no
Is Zipcode 65570 adjacent to and south of Zipcode 65557?,yes
Is Midland County Michigan north of Zipcode 48801?,no
Is Zipcode 84086 east of Zipcode 84317?,no
Is Jefferson County Georgia northeast of Hancock County Georgia?,no
Is Zipcode 75206 north of Zipcode 75207?,no
Is McLean County Kentucky northeast of Zipcode 42409?,no
Is Zipcode 61938 adjacent to and northeast of Zipcode 61928?,no
Is Marion County Kentucky southeast of Zipcode 42716?,no
Is Montgomery County Texas adjacent to and north of Zipcode 77377?,no
Is The State of Connecticut adjacent to and northeast of Zipcode 10573?,yes
Is Zipcode 61865 adjacent to and northeast of Zipcode 61812?,yes
Is Zipcode 80459 adjacent to and north of Zipcode 80423?,no
Is Zipcode 99729 adjacent to and northeast of Zipcode 99693?,no
Is San Juan Municipio Puerto Rico west of Zipcode 00745?,yes
Is Zipcode 56751 west of Zipcode 56673?,yes
Is Zipcode 10566 west of Zipcode 10517?,yes
Is Jackson County Indiana northeast of Orange County Indiana?,yes
Is Zipcode 25882 southeast of Zipcode 24870?,yes
Is Zipcode 65270 adjacent to and northeast of Zipcode 65259?,no
Is Zipcode 14129 northwest of Zipcode 14034?,no
Is Boone County Illinois adjacent to and northeast of Zipcode 61108?,no
Is Zipcode 59446 adjacent to and north of Zipcode 59430?,no
Is Zipcode 36032 adjacent to and east of Zipcode 36761?,yes
Is Zipcode 37709 south of Zipcode 37807?,no
Is Zipcode 62334 adjacent to and southeast of Zipcode 62341?,yes
Is Zipcode 44805 east of Zipcode 44907?,no
Is Zipcode 80212 adjacent to and south of Zipcode 80221?,no
Is Zipcode 64124 southeast of Zipcode 64116?,yes
Is Zipcode 12037 adjacent to and northwest of Zipcode 12017?,no
Is Zipcode 07751 west of Zipcode 07722?,no
Is Zipcode 67579 south of Zipcode 67491?,no
Is Zipcode 56228 adjacent to and southeast of Zipcode 56243?,no
Is Montgomery County North Carolina adjacent to and east of Stanly County North Carolina?,yes
Is Zipcode 62462 adjacent to and northeast of Zipcode 62401?,yes
Is Washington County Oregon northwest of Zipcode 97208?,no
Is Zipcode 44890 adjacent to and east of Zipcode 44807?,yes
Is Zipcode 54538 adjacent to and southwest of Zipcode 54512?,yes
Is Zipcode 95571 adjacent to and south of Zipcode 95569?,no
Is Clark County Indiana northwest of Zipcode 41008?,no
Is Zipcode 45694 adjacent to and south of Zipcode 45653?,yes
Is Zipcode 36567 adjacent to and northwest of Zipcode 36574?,yes
Is The State of Oklahoma west of Zipcode 75550?,no
Is Washtenaw County Michigan northeast of Zipcode 49202?,no
Is Zipcode 78833 adjacent to and southwest of Zipcode 78058?,yes
Is Bryan County Georgia adjacent to and northeast of Zipcode 31309?,no
Is Kalamazoo County Michigan adjacent to and southeast of Allegan County Michigan?,yes
Is Zipcode 34484 adjacent to and northwest of Zipcode 34785?,yes
Is Zipcode 33762 adjacent to and northwest of Zipcode 33716?,yes
Is Zipcode 10604 adjacent to and south of Zipcode 10504?,no
Is Zipcode 85927 northwest of Zipcode 85920?,yes
Is Zipcode 67510 adjacent to and southwest of Zipcode 67561?,yes
Is Lincoln County Washington adjacent to and west of Whitman County Washington?,no
Is Zipcode 43614 adjacent to and west of Zipcode 43609?,no
Is Zipcode 28152 adjacent to and northeast of Zipcode 29341?,yes
Is Zipcode 95041 west of Zipcode 95066?,yes
Is The State of Kentucky southeast of Zipcode 47546?,yes
Is Kay County Oklahoma northeast of Zipcode 73701?,yes
Is Zipcode 65054 southwest of Zipcode 65024?,yes
